               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.039048,             0.02164,            0.022106,             0.77708,             0.66475,             0.73508,             0.36366,            0.045802,            0.012041,            0.016734,            0.006436,            0.006436,            0.006436
                  38,            0.039861,            0.021688,            0.020684,             0.79182,             0.64673,             0.69647,             0.33823,            0.046584,            0.011925,             0.01324,            0.006337,            0.006337,            0.006337
                  39,            0.039707,            0.021421,            0.021499,             0.75162,             0.67904,             0.71271,             0.34786,            0.045692,            0.012125,            0.013794,            0.006238,            0.006238,            0.006238
                  40,            0.038894,            0.020798,            0.021206,             0.77758,             0.72145,             0.73381,             0.35906,            0.046139,            0.011827,             0.01235,            0.006139,            0.006139,            0.006139
                  41,            0.038154,             0.02112,            0.021085,              0.7834,             0.66167,             0.69573,             0.31297,            0.048363,             0.01186,            0.012983,             0.00604,             0.00604,             0.00604
                  42,            0.038792,            0.021146,            0.020735,             0.81479,             0.69091,              0.7487,             0.36754,            0.045249,            0.011614,            0.013001,            0.005941,            0.005941,            0.005941
                  43,              0.0378,            0.021462,            0.019882,             0.76513,             0.70863,             0.74173,             0.36025,            0.045982,            0.011887,            0.011631,            0.005842,            0.005842,            0.005842
                  44,            0.038132,            0.020989,            0.020336,             0.77255,             0.71504,             0.72967,             0.36522,            0.045306,            0.012216,            0.013916,            0.005743,            0.005743,            0.005743
                  45,            0.037936,            0.020828,            0.020413,             0.78745,             0.70405,             0.74387,             0.37677,            0.045286,            0.011635,            0.011494,            0.005644,            0.005644,            0.005644
                  46,            0.038302,            0.020901,            0.019802,             0.78272,             0.64054,             0.70199,             0.34232,            0.046652,            0.011831,            0.012369,            0.005545,            0.005545,            0.005545
                  47,            0.037357,            0.021374,            0.019464,             0.78437,             0.65155,             0.68879,             0.33538,            0.047057,            0.012502,            0.012399,            0.005446,            0.005446,            0.005446
                  48,            0.037491,            0.020755,            0.019098,             0.78151,             0.68827,             0.71557,             0.35266,            0.045416,            0.011734,            0.012743,            0.005347,            0.005347,            0.005347
                  49,            0.037339,            0.021339,            0.018367,             0.77129,             0.69899,             0.70923,             0.37279,            0.045541,            0.011943,            0.011622,            0.005248,            0.005248,            0.005248
                  50,            0.036435,            0.020515,            0.017566,             0.82062,             0.68104,             0.71118,             0.35773,            0.044215,            0.011878,            0.012882,            0.005149,            0.005149,            0.005149
                  51,             0.03604,            0.020939,            0.018652,              0.7624,             0.65521,             0.69648,             0.33511,            0.046371,            0.012469,            0.013352,             0.00505,             0.00505,             0.00505
                  52,            0.036394,            0.021103,             0.01884,             0.79667,             0.65988,             0.71947,             0.35323,            0.046028,            0.012166,             0.01429,            0.004951,            0.004951,            0.004951
                  53,            0.036357,            0.020445,            0.019231,             0.83629,             0.71235,             0.75297,              0.3862,            0.043041,            0.011853,            0.011842,            0.004852,            0.004852,            0.004852
                  54,            0.036518,            0.019644,            0.020379,             0.79042,             0.71497,             0.73232,             0.39227,            0.042618,            0.011938,            0.013147,            0.004753,            0.004753,            0.004753
                  55,            0.034922,            0.020026,            0.018837,             0.76832,             0.69022,             0.73047,              0.3806,            0.044072,            0.011865,            0.013698,            0.004654,            0.004654,            0.004654
                  56,            0.035879,            0.020379,            0.018527,             0.78704,             0.68676,             0.72606,             0.36839,            0.045896,            0.012479,            0.013281,            0.004555,            0.004555,            0.004555
                  57,            0.035977,            0.019975,            0.019886,             0.78221,             0.68343,             0.71687,             0.35138,            0.046435,             0.01231,            0.013526,            0.004456,            0.004456,            0.004456
                  58,            0.035563,            0.020764,            0.019526,             0.79135,             0.70111,              0.7285,             0.37535,            0.045569,            0.012305,            0.012739,            0.004357,            0.004357,            0.004357
                  59,            0.035105,            0.020796,            0.018511,             0.80159,             0.69996,              0.7252,             0.36734,            0.046648,            0.012167,             0.01241,            0.004258,            0.004258,            0.004258
                  60,            0.035243,             0.02054,            0.019871,             0.80966,             0.69498,             0.75019,             0.37788,             0.04362,            0.012131,            0.012421,            0.004159,            0.004159,            0.004159
                  61,            0.034768,            0.019997,            0.019519,             0.85224,             0.68744,             0.73778,             0.36896,            0.045285,            0.012299,            0.011688,             0.00406,             0.00406,             0.00406
                  62,            0.035218,            0.020751,            0.019071,             0.79809,             0.70606,             0.75423,             0.39521,            0.044357,            0.011719,            0.011099,            0.003961,            0.003961,            0.003961
                  63,            0.034211,            0.020052,            0.017207,             0.81769,              0.6875,             0.73202,             0.37083,            0.043919,            0.011774,            0.012336,            0.003862,            0.003862,            0.003862
                  64,            0.034123,            0.020075,            0.018841,             0.79529,             0.70617,             0.71631,             0.36539,            0.044726,             0.01239,            0.012812,            0.003763,            0.003763,            0.003763
                  65,            0.033687,            0.020887,             0.01773,             0.81363,             0.71749,              0.7485,             0.39396,            0.041693,             0.01191,            0.011446,            0.003664,            0.003664,            0.003664
                  66,            0.033551,            0.020102,            0.018461,             0.78084,             0.66795,             0.71733,             0.34774,            0.044805,            0.011909,            0.013602,            0.003565,            0.003565,            0.003565
                  67,            0.033605,             0.01976,            0.018312,             0.83451,             0.72183,             0.76102,             0.37772,             0.04504,            0.011457,            0.010719,            0.003466,            0.003466,            0.003466
                  68,            0.033869,            0.019706,            0.020183,              0.8067,             0.71785,             0.72423,             0.38777,            0.042962,             0.01194,            0.011768,            0.003367,            0.003367,            0.003367
                  69,            0.033408,            0.019892,            0.018184,             0.83198,              0.6988,             0.72384,             0.36512,            0.043877,            0.011938,            0.012864,            0.003268,            0.003268,            0.003268
                  70,            0.033051,            0.019891,            0.016835,             0.77154,             0.68858,             0.69979,             0.35771,            0.044082,            0.011802,            0.013072,            0.003169,            0.003169,            0.003169
